iteration,error_rho,error_v,error_T
1,0.0168917,0.0138008,0.0209859
2,0.00792303,0.00688453,0.00510787
3,0.00528992,0.00492505,0.00225675
4,0.00389496,0.00401585,0.00110809
5,0.00307841,0.00354907,0.000627578
6,0.00257236,0.00327757,0.000480479
7,0.0022481,0.0030967,0.000460507
8,0.00203556,0.00296115,0.000464351
9,0.001893,0.00285071,0.000467097
10,0.00179411,0.00275611,0.000467247
11,0.00172146,0.00267061,0.000466865
12,0.00166382,0.00259191,0.000466786
13,0.00161486,0.00252171,0.000467164
14,0.00157045,0.0024593,0.000468333
15,0.00152823,0.00240407,0.000470395
16,0.001487,0.00235532,0.000473351
17,0.0014463,0.00231235,0.000477119
18,0.00140613,0.00227446,0.000481536
19,0.00136671,0.00224102,0.000486365
20,0.00132844,0.00221149,0.000491333
21,0.00129174,0.00218545,0.000496158
22,0.00125702,0.00216256,0.000500585
23,0.00122468,0.00214251,0.000504411
24,0.00119502,0.00212496,0.000507507
25,0.00116832,0.00210958,0.000509808
26,0.00114478,0.002096,0.000511321
27,0.00112453,0.00208385,0.000512098
28,0.00110765,0.00207281,0.000512228
29,0.00109418,0.00206261,0.000511822
30,0.00108406,0.00205306,0.000510999
31,0.00107722,0.00204402,0.000509873
32,0.00107349,0.0020354,0.000508557
33,0.0010727,0.0020272,0.000507157
34,0.00107459,0.00201938,0.000505757
35,0.00107891,0.00201189,0.000504438
36,0.00108536,0.00200471,0.000503271
37,0.00109365,0.0019978,0.00050232
38,0.00110349,0.00199108,0.000501639
39,0.00111459,0.00198448,0.000501277
40,0.00112667,0.00197794,0.000501271
41,0.00113949,0.00197139,0.000501651
42,0.00115282,0.00196478,0.000502437
43,0.00116645,0.00195809,0.000503639
44,0.00118023,0.00195132,0.000505259
45,0.00119402,0.00194446,0.000507288
46,0.00120769,0.00193754,0.000509712
47,0.00122117,0.00193058,0.000512509
48,0.00123438,0.00192361,0.000515651
49,0.00124726,0.00191664,0.000519102
50,0.00125974,0.00190967,0.000522816
51,0.00127175,0.0019027,0.000526737
52,0.00128319,0.00189575,0.000530794
53,0.00129393,0.00188883,0.000534906
54,0.00130383,0.00188199,0.000538978
55,0.00131272,0.00187533,0.000542911
56,0.00132042,0.00186896,0.000546601
57,0.00132672,0.00186305,0.000549953
58,0.00133147,0.00185779,0.000552883
59,0.0013345,0.0018534,0.000555331
60,0.00133573,0.0018501,0.000557259
61,0.00133509,0.00184808,0.000558666
62,0.00133262,0.00184754,0.000559574
63,0.00132836,0.00184858,0.000560037
64,0.00132244,0.0018513,0.000560128
65,0.00131502,0.00185569,0.000559929
66,0.00130628,0.00186172,0.000559528
67,0.0012964,0.00186932,0.000559008
68,0.00128556,0.00187835,0.000558436
69,0.00127392,0.00188865,0.000557866
70,0.0012616,0.00190004,0.000557329
