iteration error_rho error_v error_T
1 0.0260469 0.0216423 0.0311097
2 0.0120531 0.0112221 0.00710433
3 0.0080897 0.00825859 0.00303225
4 0.00608893 0.00684162 0.00147909
5 0.00497912 0.00604835 0.00094082
6 0.00432319 0.00552727 0.000856851
7 0.00391096 0.00513794 0.00087622
8 0.00363188 0.0048242 0.000887382
9 0.00342536 0.00456501 0.000879487
10 0.00325789 0.0043533 0.000860357
11 0.00310819 0.0041795 0.000838412
12 0.00296954 0.00404622 0.000817383
13 0.00283992 0.00395096 0.000799958
14 0.00271951 0.00388614 0.000787695
15 0.00261011 0.0038431 0.000781048
16 0.0025141 0.0038133 0.000779764
17 0.00243364 0.00378952 0.000783167
18 0.00237006 0.00376657 0.000790381
19 0.00232362 0.00374156 0.000800467
20 0.00229351 0.00371336 0.000812575
21 0.00227805 0.00368231 0.000826
22 0.0022749 0.00364945 0.00084018
23 0.00228136 0.00361592 0.000854681
24 0.00229463 0.00358267 0.000869153
25 0.00231193 0.00355016 0.0008833
26 0.00233067 0.00351872 0.000896846
27 0.00234844 0.00348871 0.000909513
28 0.00236313 0.00346065 0.00092103
29 0.0023729 0.00343557 0.000931148
30 0.00237629 0.00341484 0.000939655
31 0.00237218 0.0033999 0.000946406
32 0.00235991 0.00339197 0.000951337
33 0.00233931 0.00339191 0.000954477
34 0.00231055 0.00339996 0.000955931
35 0.00227425 0.00341536 0.000955845
36 0.00223132 0.00343684 0.000954356
37 0.00218297 0.00346299 0.000951635
38 0.00213051 0.00349197 0.000947813
39 0.00207529 0.00352184 0.000942964
40 0.00201851 0.00355092 0.0009371
41 0.0019612 0.00357797 0.000930164
42 0.00190416 0.00360298 0.000922061
43 0.00184802 0.00362654 0.000912693
44 0.00179318 0.00364998 0.000901962
45 0.00173988 0.00367565 0.000889786
46 0.00168833 0.00370653 0.000876146
47 0.00163867 0.00374582 0.000861076
48 0.00159102 0.00379641 0.00084467
49 0.00154547 0.00386076 0.000827075
50 0.00150216 0.00394037 0.000808509
51 0.00146128 0.0040355 0.000789251
52 0.00142304 0.00414498 0.000769608
53 0.00138763 0.00426659 0.000749923
54 0.00135527 0.00439745 0.000730562
55 0.00132619 0.00453437 0.000711884
56 0.00130053 0.004674 0.000694212
57 0.00127835 0.00481321 0.000677818
58 0.00125965 0.00494942 0.000662907
59 0.00124433 0.0050804 0.000649594
60 0.00123221 0.00520407 0.000637908
61 0.00122307 0.00531807 0.000627805
62 0.00121673 0.00541987 0.000619215
