iteration,error_rho,error_v,error_T
1,0.0211877,0.0169388,0.0245391
2,0.0120024,0.0102849,0.00758602
3,0.0073572,0.00699209,0.00331433
4,0.00519292,0.0055256,0.00192085
5,0.00407799,0.00477469,0.00128397
6,0.00344359,0.00432454,0.000917467
7,0.00304907,0.00400859,0.000704438
8,0.00278395,0.00376303,0.000590406
9,0.0025936,0.00356394,0.000539776
10,0.00244847,0.00339794,0.000527701
11,0.00233158,0.00325838,0.000535624
12,0.00223276,0.00314164,0.000552009
13,0.00214578,0.00304518,0.000570493
14,0.00206696,0.00296656,0.000587818
15,0.00199421,0.00290316,0.00060248
16,0.00192645,0.00285216,0.000613988
17,0.00186325,0.00281083,0.000622443
18,0.0018045,0.00277684,0.000628252
19,0.00175027,0.00274825,0.000631991
20,0.00170072,0.00272374,0.000634271
21,0.00165601,0.00270248,0.000635634
22,0.00161631,0.00268393,0.000636506
23,0.00158177,0.00266767,0.000637186
24,0.00155251,0.00265329,0.000637846
25,0.00152862,0.00264031,0.000638585
26,0.00151016,0.00262824,0.000639432
27,0.0014971,0.00261656,0.000640383
28,0.00148931,0.00260485,0.00064143
29,0.00148656,0.00259284,0.000642565
30,0.00148851,0.0025804,0.000643789
31,0.00149468,0.00256751,0.000645115
32,0.00150453,0.00255426,0.000646579
33,0.00151745,0.0025408,0.000648229
34,0.00153279,0.0025273,0.000650124
35,0.00154988,0.00251379,0.000652306
36,0.00156811,0.00250039,0.000654828
37,0.00158686,0.00248719,0.000657727
38,0.00160551,0.00247426,0.000661013
39,0.00162351,0.00246168,0.000664667
40,0.00164027,0.00244959,0.000668629
41,0.00165526,0.00243814,0.000672803
42,0.00166794,0.00242756,0.000677066
43,0.00167787,0.00241816,0.000681288
44,0.00168464,0.00241032,0.000685338
45,0.00168796,0.00240445,0.000689089
46,0.00168767,0.00240099,0.000692454
47,0.00168374,0.00240032,0.000695381
48,0.00167624,0.00240272,0.000697849
49,0.00166539,0.00240821,0.000699865
50,0.00165147,0.00241683,0.000701451
51,0.00163484,0.00242841,0.000702643
52,0.0016159,0.00244259,0.000703478
53,0.00159503,0.00245883,0.000703984
54,0.00157262,0.00247661,0.000704178
55,0.001549,0.00249537,0.000704065
56,0.00152449,0.00251447,0.000703636
57,0.00149931,0.00253331,0.000702865
58,0.00147366,0.00255143,0.00070172
59,0.00144771,0.00256849,0.000700168
60,0.0014216,0.00258423,0.000698174
61,0.00139545,0.00259854,0.000695704
62,0.00136935,0.00261157,0.000692734
63,0.00134342,0.00262367,0.000689246
64,0.00131775,0.00263535,0.000685231
65,0.00129243,0.00264723,0.000680681
66,0.00126751,0.00266023,0.0006756
67,0.00124305,0.00267533,0.000669995
68,0.0012191,0.00269348,0.000663879
69,0.00119566,0.0027155,0.000657266
70,0.00117274,0.00274219,0.000650179
71,0.00115035,0.00277406,0.000642649
72,0.00112848,0.00281127,0.000634716
73,0.00110715,0.00285364,0.000626426
74,0.00108637,0.00290075,0.000617841
75,0.00106619,0.00295188,0.000609032
76,0.00104667,0.00300614,0.000600081
77,0.00102788,0.00306252,0.000591071
78,0.00100988,0.00312006,0.000582097
79,0.000992768,0.00317797,0.000573253
80,0.000976621,0.00323557,0.000564629
81,0.000961495,0.00329239,0.000556301
82,0.000947433,0.00334819,0.000548341
83,0.000934459,0.00340302,0.000540802
84,0.000922566,0.00345705,0.000533722
85,0.000911719,0.00351055,0.000527116
86,0.00090185,0.00356383,0.000520981
87,0.000892883,0.00361726,0.000515296
88,0.000884729,0.00367112,0.000510027
89,0.000877297,0.00372554,0.000505124
90,0.000870493,0.00378042,0.000500528
91,0.000864251,0.00383546,0.000496185
92,0.00085854,0.00389014,0.000492048
93,0.000853374,0.00394356,0.000488083
94,0.000848812,0.00399444,0.00048428
95,0.000844982,0.00404117,0.000480665
96,0.000842077,0.00408185,0.000477301
97,0.000840351,0.00411424,0.000474292
98,0.000840091,0.00413581,0.000471778
99,0.000841607,0.004144,0.000469931
100,0.00084519,0.00413638,0.00046894
101,0.000851066,0.00411083,0.000468987
102,0.000859347,0.00406575,0.000470224
103,0.000869978,0.00400031,0.000472738
104,0.00088272,0.00391481,0.000476534
105,0.000897129,0.00381094,0.000481509
106,0.000912562,0.00369194,0.00048744
107,0.000928207,0.00356266,0.000493995
108,0.000943131,0.00342967,0.000500739
109,0.000956341,0.00330113,0.000507172
110,0.000966855,0.00318586,0.000512723
111,0.0009738,0.00309236,0.000516865
112,0.000976483,0.00302739,0.000519156
113,0.000974433,0.00299433,0.000519262
114,0.000967492,0.00299272,0.000517022
115,0.000955879,0.0030182,0.000512488
116,0.00094022,0.00306312,0.000505966
117,0.00092158,0.00311854,0.00049803
118,0.0009014,0.0031747,0.000489538
119,0.000881495,0.00322287,0.000481596
120,0.000863852,0.00325598,0.000475407
121,0.000850418,0.00326884,0.000472142
122,0.000842811,0.00325819,0.000472733
123,0.000842018,0.00322258,0.000477673
124,0.000848182,0.00316231,0.000486877
125,0.000860555,0.00307932,0.000499663
126,0.000877623,0.00297714,0.000514865
127,0.00089738,0.00286069,0.000531016
128,0.00091763,0.00273611,0.000546553
129,0.000936277,0.0026106,0.000559996
130,0.000951534,0.00249172,0.000570086
131,0.000962012,0.0023866,0.000575756
132,0.000966891,0.00230134,0.000576236
133,0.000966116,0.00223883,0.000571627
134,0.000960116,0.00219886,0.000562423
135,0.000949803,0.00217831,0.000549608
136,0.000936454,0.00217221,0.000534593
137,0.000921554,0.00217506,0.000519093
138,0.000906612,0.00218234,0.00050494
139,0.000892963,0.00219132,0.000493823
140,0.000881545,0.00220163,0.000486986
141,0.000872836,0.00221555,0.000484947
142,0.000866796,0.00223675,0.000487396
143,0.00086292,0.00226985,0.000493324
144,0.000860401,0.00231922,0.000501301
145,0.000858303,0.00238782,0.000509772
146,0.000855755,0.00247639,0.000517313
147,0.000852098,0.00258327,0.000522796
