iteration,error_rho,error_v,error_T
1,0.000267445,0.00381154,0.000548816
2,0.000466419,0.00369653,0.000474054
3,0.000622205,0.00360988,0.000482973
4,0.00073625,0.00355949,0.000474701
5,0.000862431,0.00353708,0.000435443
6,0.00103915,0.00352433,0.000405821
7,0.00126237,0.00350194,0.000443975
8,0.0014985,0.0034578,0.000549124
9,0.00171081,0.00339097,0.000670338
10,0.00187366,0.00331046,0.000767585
11,0.00197566,0.00322969,0.000823356
12,0.00201761,0.00315994,0.000836056
13,0.00200853,0.00310623,0.000813373
14,0.00196154,0.00306748,0.000767216
15,0.00188814,0.00303566,0.000709758
16,0.00179977,0.00300362,0.000651814
17,0.00171105,0.00297458,0.000602033
18,0.00162884,0.00294685,0.000564579
19,0.00155733,0.00292002,0.000540166
20,0.00149867,0.00289447,0.000527073
21,0.00145368,0.002871,0.000522523
22,0.00142245,0.00285038,0.000523856
23,0.00140469,0.00283318,0.000529153
24,0.00139997,0.00281963,0.000537406
25,0.00140778,0.00280961,0.000548389
26,0.00142749,0.00280273,0.000562425
27,0.00145826,0.00279843,0.000580118
28,0.00149904,0.0027961,0.000602092
29,0.00154851,0.00279519,0.000628783
30,0.00160516,0.00279522,0.000660296
31,0.00166732,0.0027959,0.000696355
32,0.00173331,0.00279701,0.000736324
33,0.00180146,0.00279847,0.000779281
34,0.00187025,0.00280022,0.000824118
35,0.00193833,0.00280229,0.000869633
36,0.00200336,0.002803,0.000914185
37,0.00205742,0.00279307,0.000954395
38,0.00210693,0.00278292,0.000991928
39,0.00215156,0.00277263,0.00102605
40,0.00219114,0.00276231,0.00105617
41,0.00222561,0.00275204,0.00108186
42,0.00225495,0.00274199,0.00110279
43,0.00227916,0.00273234,0.00111873
44,0.00229822,0.00272334,0.00112957
45,0.00231207,0.00271533,0.00113523
46,0.00232067,0.00270867,0.00113577
47,0.00232399,0.00270376,0.00113134
48,0.00232203,0.00270101,0.00112223
49,0.00231491,0.00270076,0.00110885
50,0.00230283,0.00270328,0.00109181
51,0.00228615,0.00270872,0.00107182
52,0.00226533,0.00271708,0.00104974
53,0.0022409,0.00272821,0.00102646
54,0.00221349,0.00274181,0.00100284
55,0.00218369,0.00275744,0.000979665
56,0.0021521,0.00277458,0.000957526
57,0.00211918,0.00279263,0.000936817
58,0.00208535,0.00281099,0.000917705
59,0.00205088,0.00282906,0.000900147
60,0.00201595,0.00284631,0.000883939
61,0.00198065,0.00286233,0.000868767
62,0.00194503,0.00287679,0.000854265
63,0.00190907,0.00288954,0.000840067
64,0.00187277,0.00290055,0.000825846
65,0.0018361,0.00290997,0.000811338
66,0.00179908,0.00291809,0.000796363
67,0.00176172,0.00292534,0.000780827
68,0.00172407,0.00293229,0.000764723
69,0.00168621,0.00293959,0.000748122
70,0.00164821,0.00294798,0.000731152
71,0.00161018,0.00295821,0.000713987
72,0.00157221,0.00297099,0.000696818
73,0.00153439,0.00298697,0.000679838
74,0.00149683,0.00300663,0.000663223
75,0.00145959,0.00303027,0.000647119
76,0.00142275,0.00305796,0.000631633
77,0.00138637,0.00308955,0.00061683
78,0.00135053,0.00312462,0.000602738
79,0.0013153,0.00316257,0.000589351
80,0.00128076,0.00320264,0.000576637
81,0.00124702,0.00324401,0.000564554
82,0.00121418,0.00328582,0.000553058
83,0.00118239,0.00332728,0.000542112
84,0.00115177,0.00336772,0.000531695
85,0.00112246,0.00340665,0.000521808
86,0.00109458,0.00344374,0.000512469
87,0.00106824,0.00347887,0.00050371
88,0.0010435,0.00351212,0.000495574
89,0.00102042,0.00354371,0.000488098
90,0.000999018,0.00357397,0.000481312
91,0.000979264,0.00360334,0.000475229
92,0.000961116,0.00363229,0.000469839
93,0.000944502,0.00366127,0.000465109
94,0.000929328,0.00369071,0.000460981
95,0.000915484,0.00372098,0.000457378
96,0.000902851,0.00375233,0.000454206
97,0.000891303,0.00378487,0.000451366
98,0.000880721,0.00381856,0.000448757
99,0.000870999,0.00385311,0.000446285
100,0.000862059,0.00388799,0.000443878
101,0.000853862,0.00392232,0.000441489
102,0.000846423,0.00395492,0.000439108
103,0.000839821,0.0039842,0.000436771
104,0.000834207,0.00400826,0.000434559
105,0.0008298,0.00402488,0.000432608
106,0.000826876,0.00403164,0.000431098
107,0.000825745,0.00402604,0.000430246
108,0.000826715,0.00400565,0.000430285
109,0.000830045,0.00396831,0.000431445
110,0.000835892,0.00391233,0.000433913
111,0.000844268,0.00383675,0.000437808
112,0.000854993,0.00374157,0.000443148
113,0.000867682,0.00362803,0.000449831
114,0.000881741,0.00349882,0.000457622
115,0.000896395,0.00335833,0.000466165
116,0.000910731,0.00321274,0.000474997
117,0.000923751,0.00306999,0.00048358
118,0.000934447,0.00293936,0.000491336
119,0.000941864,0.00283062,0.000497689
120,0.000945176,0.00275263,0.000502107
121,0.000943759,0.00271151,0.000504151
122,0.000937258,0.00270908,0.000503518
123,0.000925651,0.00274224,0.000500092
124,0.000909316,0.00280359,0.000493988
125,0.000889074,0.00288311,0.000485604
126,0.000866215,0.00296993,0.000475646
127,0.000842489,0.00305378,0.000465148
128,0.000820024,0.0031258,0.000455428
129,0.000801156,0.00317889,0.000447992
130,0.000788133,0.00320776,0.000444322
131,0.00078274,0.00320881,0.000445607
