n,x,area,density,velocity,temperature,pressure,mach,mass_flow
0,0,5.95,1,0.0991597,1,1,0.0991597,0.59
1,0.0333333,5.73244,0.999619,0.101578,0.999847,0.999466,0.101585,0.582066
2,0.0666667,5.51978,0.999201,0.105535,0.99968,0.998882,0.105552,0.582066
3,0.1,5.312,0.998743,0.109713,0.999498,0.998242,0.109741,0.582065
4,0.133333,5.10911,0.998241,0.114127,0.999297,0.99754,0.114168,0.582064
5,0.166667,4.91111,0.997691,0.118794,0.999076,0.996769,0.118849,0.582064
6,0.2,4.718,0.997086,0.123731,0.998832,0.995921,0.123804,0.582063
7,0.233333,4.52978,0.996418,0.128959,0.998564,0.994987,0.129051,0.582062
8,0.266667,4.34644,0.995679,0.134497,0.99827,0.993957,0.134614,0.582059
9,0.3,4.168,0.994863,0.14037,0.997946,0.992819,0.140514,0.582056
10,0.333333,3.99444,0.993961,0.146601,0.997585,0.991561,0.146778,0.582054
11,0.366667,3.82578,0.992965,0.153218,0.997183,0.990168,0.153434,0.582053
12,0.4,3.662,0.991861,0.160248,0.996736,0.988623,0.16051,0.582053
13,0.433333,3.50311,0.990634,0.167724,0.996238,0.986908,0.16804,0.582053
14,0.466667,3.34911,0.989268,0.175678,0.995686,0.985,0.176058,0.582052
15,0.5,3.2,0.987743,0.184148,0.995074,0.982877,0.184603,0.58205
16,0.533333,3.05578,0.986041,0.193171,0.994391,0.980511,0.193715,0.582046
17,0.566667,2.91644,0.984139,0.202789,0.993629,0.977869,0.203438,0.582043
18,0.6,2.782,0.982013,0.213048,0.992775,0.974919,0.213822,0.58204
19,0.633333,2.65244,0.979636,0.223996,0.991816,0.971619,0.224918,0.582038
20,0.666667,2.52778,0.976973,0.235683,0.990738,0.967924,0.236783,0.582037
21,0.7,2.408,0.973988,0.248165,0.989524,0.963785,0.249475,0.582038
22,0.733333,2.29311,0.970639,0.261499,0.988158,0.959145,0.263061,0.582039
23,0.766667,2.18311,0.966877,0.275745,0.98662,0.95394,0.277608,0.582042
24,0.8,2.078,0.962648,0.290967,0.984887,0.948099,0.293191,0.582045
25,0.833333,1.97778,0.957893,0.307231,0.982933,0.941545,0.309886,0.582048
26,0.866667,1.88244,0.952545,0.324604,0.980732,0.934191,0.327777,0.582051
27,0.9,1.792,0.946532,0.343154,0.978248,0.925943,0.346948,0.582053
28,0.933333,1.70644,0.939775,0.362952,0.975448,0.916702,0.367491,0.582056
29,0.966667,1.62578,0.932189,0.384062,0.97229,0.906358,0.389497,0.582059
30,1,1.55,0.923682,0.40655,0.96873,0.894798,0.41306,0.582061
31,1.03333,1.47911,0.914158,0.430475,0.964722,0.881908,0.438275,0.582063
32,1.06667,1.41311,0.903519,0.455888,0.960214,0.867572,0.465237,0.582066
33,1.1,1.352,0.891665,0.482831,0.955153,0.851676,0.494036,0.582068
34,1.13333,1.29578,0.878501,0.511332,0.949482,0.834121,0.524759,0.582071
35,1.16667,1.24444,0.863932,0.541404,0.943149,0.814817,0.557482,0.582072
36,1.2,1.198,0.847888,0.573039,0.936093,0.793702,0.592277,0.582075
