n,x,area,density,velocity,temperature,pressure,mach,mass_flow
0,0,5.95,1,0.0991597,1,1,0.0991597,0.59
1,0.025,5.78638,0.999718,0.100534,0.999887,0.999605,0.10054,0.581562
2,0.05,5.6255,0.999416,0.10344,0.999766,0.999182,0.103452,0.581563
3,0.075,5.46738,0.999092,0.106467,0.999637,0.998729,0.106486,0.581565
4,0.1,5.312,0.998746,0.109619,0.999498,0.998244,0.109647,0.581566
5,0.125,5.15938,0.998374,0.112904,0.99935,0.997725,0.112941,0.581568
6,0.15,5.0095,0.997975,0.116329,0.99919,0.997167,0.116376,0.58157
7,0.175,4.86238,0.997548,0.119901,0.999019,0.996569,0.11996,0.581573
8,0.2,4.718,0.997089,0.123627,0.998834,0.995926,0.1237,0.581576
9,0.225,4.57638,0.996595,0.127517,0.998635,0.995235,0.127604,0.58158
10,0.25,4.4375,0.996063,0.131579,0.998422,0.994492,0.131683,0.581583
11,0.275,4.30138,0.995489,0.135822,0.998194,0.993691,0.135945,0.581587
12,0.3,4.168,0.994871,0.140256,0.997947,0.992829,0.140401,0.58159
13,0.325,4.03738,0.994204,0.144892,0.99768,0.991898,0.145061,0.581595
14,0.35,3.9095,0.993487,0.149741,0.997391,0.990894,0.149937,0.5816
15,0.375,3.78438,0.992711,0.154815,0.997077,0.98981,0.155041,0.581607
16,0.4,3.662,0.991873,0.160125,0.996738,0.988638,0.160387,0.581613
17,0.425,3.54237,0.990965,0.165686,0.996373,0.98737,0.165987,0.581619
18,0.45,3.4255,0.98998,0.171511,0.995978,0.985998,0.171857,0.581624
19,0.475,3.31137,0.988912,0.177615,0.99555,0.984511,0.178012,0.58163
20,0.5,3.2,0.987753,0.184015,0.995086,0.982899,0.184468,0.581635
21,0.525,3.09138,0.986497,0.190725,0.994581,0.981151,0.191244,0.581641
22,0.55,2.9855,0.985133,0.197764,0.994031,0.979253,0.198357,0.581648
23,0.575,2.88237,0.983652,0.205151,0.993432,0.977192,0.205828,0.581656
24,0.6,2.782,0.982042,0.212905,0.992779,0.974951,0.213677,0.581664
25,0.625,2.68438,0.98029,0.221045,0.992068,0.972514,0.221927,0.581673
26,0.65,2.5895,0.978381,0.229594,0.991293,0.969862,0.230601,0.581682
27,0.675,2.49737,0.976301,0.238575,0.990448,0.966975,0.239722,0.58169
28,0.7,2.408,0.974032,0.248009,0.989526,0.963831,0.249319,0.581699
29,0.725,2.32138,0.971557,0.257923,0.988521,0.960404,0.259416,0.581707
30,0.75,2.2375,0.968857,0.268341,0.987422,0.95667,0.270045,0.581715
31,0.775,2.15637,0.965909,0.27929,0.986221,0.9526,0.281234,0.581723
32,0.8,2.078,0.962692,0.290797,0.984907,0.948162,0.293017,0.581732
33,0.825,2.00237,0.959179,0.302889,0.983469,0.943323,0.305424,0.58174
34,0.85,1.9295,0.955344,0.315596,0.981894,0.938047,0.318492,0.581749
35,0.875,1.85938,0.951157,0.328945,0.980171,0.932296,0.332256,0.581758
36,0.9,1.792,0.946586,0.342967,0.978283,0.926029,0.346752,0.581768
