n x area density velocity temperature pressure mach mass_flow
0 0 5.95 1 0.0991597 1 1 0.0991597 0.59 
1 0.05 5.6255 0.999418 0.102715 0.999785 0.999249 0.102726 0.577485 
2 0.1 5.312 0.998718 0.10885 0.999567 0.998486 0.108874 0.577472 
3 0.15 5.0095 0.998093 0.115512 0.999137 0.996984 0.115562 0.577555 
4 0.2 4.718 0.997197 0.122758 0.99882 0.995875 0.12283 0.577549 
5 0.25 4.4375 0.996174 0.130653 0.998438 0.994544 0.130755 0.577555 
6 0.3 4.168 0.995023 0.139266 0.997964 0.99289 0.139408 0.577572 
7 0.35 3.9095 0.993623 0.148681 0.997472 0.991179 0.148869 0.577561 
8 0.4 3.662 0.992065 0.158983 0.996826 0.988934 0.159236 0.577578 
9 0.45 3.4255 0.990193 0.170279 0.996117 0.986477 0.17061 0.577569 
10 0.5 3.2 0.988087 0.182676 0.995199 0.983298 0.183116 0.577598 
11 0.55 2.9855 0.985463 0.196303 0.994262 0.980061 0.196868 0.577542 
12 0.6 2.782 0.982517 0.211297 0.993007 0.975738 0.21204 0.577552 
13 0.65 2.5895 0.978856 0.227812 0.9917 0.97125 0.228764 0.577447 
14 0.7 2.408 0.974773 0.246017 0.989891 0.965065 0.24727 0.577464 
15 0.75 2.2375 0.969665 0.266088 0.988006 0.958646 0.267698 0.57731 
16 0.8 2.078 0.96394 0.288221 0.985411 0.949864 0.290348 0.577326 
17 0.85 1.9295 0.956739 0.312605 0.982728 0.940841 0.315342 0.577078 
18 0.9 1.792 0.94866 0.33945 0.979047 0.928565 0.343065 0.577065 
19 0.95 1.6655 0.938529 0.368915 0.975255 0.916038 0.373569 0.576659 
20 1 1.55 0.92725 0.401183 0.970054 0.899055 0.407332 0.576596 
21 1.05 1.4455 0.913246 0.436284 0.964768 0.882022 0.444185 0.575937 
22 1.1 1.352 0.897971 0.474273 0.957534 0.859093 0.484685 0.575795 
23 1.15 1.2695 0.879387 0.514787 0.950467 0.837104 0.528046 0.574699 
24 1.2 1.198 0.860064 0.557482 0.940866 0.80788 0.574756 0.574405 
25 1.25 1.1375 0.837654 0.600817 0.93244 0.78284 0.62224 0.572477 
26 1.3 1.088 0.817236 0.64316 0.921274 0.750518 0.670135 0.571868 
27 1.35 1.0495 0.796926 0.679496 0.914584 0.731616 0.710607 0.568313 
28 1.4 1.022 0.786477 0.705934 0.9062 0.708409 0.74168 0.567416 
29 1.45 1.0055 0.780789 0.715445 0.908418 0.714495 0.750756 0.561684 
30 1.5 1 0.790687 0.712142 0.906262 0.708578 0.74816 0.563082 
31 1.55 1.0055 0.450739 1.22417 0.715093 0.309221 1.44715 0.554816 
32 1.6 1.022 0.477504 1.16981 0.729005 0.330794 1.36957 0.57088 
33 1.65 1.0495 0.426801 1.24685 0.70205 0.289927 1.48758 0.5585 
34 1.7 1.088 0.443511 1.20253 0.707063 0.297237 1.42964 0.580271 
35 1.75 1.1375 0.37304 1.31615 0.667411 0.242872 1.61062 0.558487 
36 1.8 1.198 0.392418 1.25772 0.672429 0.249323 1.5334 0.591275 
37 1.85 1.2695 0.30676 1.41726 0.617821 0.185362 1.80277 0.551927 
38 1.9 1.352 0.344611 1.30228 0.639591 0.209247 1.62804 0.60675 
39 1.95 1.4455 0.239814 1.54814 0.552226 0.125143 2.08311 0.536667 
40 2 1.55 0.312961 1.29732 0.629615 0.198044 1.63463 0.629319 
41 2.05 1.6655 0.178218 1.73608 0.443718 0.0581935 2.60661 0.515305 
42 2.1 1.792 0.331993 1.08365 0.73868 0.346416 1.2601 0.6447 
43 2.15 1.9295 0.656165 0.425829 0.97221 0.906066 0.431854 0.53913 
44 2.2 2.078 0.573387 0.520755 0.933641 0.786374 0.538954 0.620479 
45 2.25 2.2375 0.649786 0.385325 0.972626 0.907424 0.390701 0.560223 
46 2.3 2.408 0.620523 0.404862 0.959894 0.866526 0.413238 0.604953 
47 2.35 2.5895 0.653555 0.338565 0.976156 0.919003 0.342671 0.572982 
48 2.4 2.782 0.644081 0.332566 0.973381 0.909893 0.337086 0.595903 
49 2.45 2.9855 0.660328 0.294357 0.979847 0.931223 0.297368 0.580298 
50 2.5 3.2 0.657634 0.280856 0.981239 0.935863 0.283529 0.591042 
51 2.55 3.4255 0.666704 0.255724 0.983463 0.943307 0.257869 0.584021 
52 2.6 3.662 0.667011 0.241235 0.985036 0.9486 0.243061 0.58924 
53 2.65 3.9095 0.672197 0.22298 0.986244 0.952676 0.224531 0.58598 
54 2.7 4.168 0.673232 0.209657 0.987844 0.958098 0.210947 0.588304 
55 2.75 4.4375 0.67771 0.195493 0.986804 0.954572 0.1968 0.587914 
56 2.8 4.718 0.678612 0.183875 0.988505 0.960341 0.184938 0.58871 
57 2.85 5.0095 0.679857 0.172428 0.990413 0.966844 0.173261 0.587245 
58 2.9 5.312 0.681867 0.162487 0.990085 0.965724 0.163302 0.588542 
59 2.95 5.6255 0.683969 0.152991 0.989689 0.964376 0.153786 0.588657 
60 3 5.95 0.681252 0.145555 0.99566 0.984892 0.145872 0.59 
